ID,DateTime,Operation Type,Critical Warning,Temperature,Available Spare,Available Spare Threshold,Percentage Used,Data Units Read,Data Units Written,Host Read Commands,Host Write Commands,Controller Busy Time,Power Cycles,Power On Hours,Unsafe Shutdowns,Media and Data Integrity Errors,Error Information Log Entries,Warning  Comp. Temperature Time,Critical Comp. Temperature Time
2223,2024-12-31 14:08:42,After Write,0x00,56 Celsius,100%,5%,4%,379 [194 MB],"46,017,058 [23.5 TB]","33,616","91,480,512","6,565",1,138,1,0,9,0,0
2224,2024-12-31 14:08:47,Before Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"46,017,058 [23.5 TB]","33,616","91,480,514","6,565",1,138,1,0,9,0,0
2224,2024-12-31 14:12:28,After Write,0x00,56 Celsius,100%,5%,4%,379 [194 MB],"46,037,541 [23.5 TB]","33,623","91,521,011","6,568",1,138,1,0,9,0,0
2225,2024-12-31 14:12:33,Before Write,0x00,56 Celsius,100%,5%,4%,379 [194 MB],"46,037,541 [23.5 TB]","33,623","91,521,013","6,568",1,138,1,0,9,0,0
2225,2024-12-31 14:15:18,After Write,0x00,56 Celsius,100%,5%,4%,379 [194 MB],"46,058,024 [23.5 TB]","33,639","91,561,724","6,571",1,138,1,0,9,0,0
2226,2024-12-31 14:15:23,Before Write,0x00,56 Celsius,100%,5%,4%,379 [194 MB],"46,058,024 [23.5 TB]","33,639","91,561,726","6,571",1,138,1,0,9,0,0
2226,2024-12-31 14:18:22,After Write,0x00,56 Celsius,100%,5%,4%,379 [194 MB],"46,078,507 [23.5 TB]","33,642","91,602,268","6,573",1,138,1,0,9,0,0
2227,2024-12-31 14:18:36,Before Write,0x00,55 Celsius,100%,5%,4%,380 [194 MB],"46,078,522 [23.5 TB]","33,668","91,602,307","6,573",1,138,1,0,9,0,0
2227,2024-12-31 14:22:20,After Write,0x00,55 Celsius,100%,5%,4%,380 [194 MB],"46,099,056 [23.6 TB]","33,672","91,642,790","6,576",1,138,1,0,9,0,0
2228,2024-12-31 14:22:25,Before Write,0x00,55 Celsius,100%,5%,4%,380 [194 MB],"46,099,056 [23.6 TB]","33,672","91,642,792","6,576",1,138,1,0,9,0,0
